district,area,elevation,district_lon
Belgrave,580,19,"Belgrave, London"
Bermondsey,282,0,"Bermondsey, London"
Bethnal Green,760,36,"Bethnal Green, London"
Camberwell,4342,4,"Camberwell, London"
Chelsea,865,12,"Chelsea, London"
Clerkenwell,315,63,"Clerkenwell, London"
East London,153,42,"East London, London"
Greenwich,5367,8,"Greenwich, London"
Hackney,3929,55,"Hackney, London"
"Hammersmith, Brompton, Kensington and Fulham",6097,12,"Hammersmith, Brompton, Kensington and Fulham, London"
Hampstead,2252,350,"Hampstead, London"
Hanover Square & Mayfair,581,49,"Hanover Square & Mayfair, London"
Holborn,196,53,"Holborn, London"
Islington,3127,88,"Islington, London"
Lambeth,4015,3,"Lambeth, London"
Lewisham,17224,28,"Lewisham, London"
London City,434,38,"London City, London"
Marylebone,1509,100,"Marylebone, London"
Newington,624,-2,"Newington, London"
Paddington,1277,76,"Paddington, London"
Poplar,2918,10,"Poplar, London"
Rotherhithe,886,0,"Rotherhithe, London"
Shoreditch,646,48,"Shoreditch, London"
St George East,243,15,"St George East, London"
St George Southwark,688,0,"St George Southwark, London"
St Giles,245,68,"St Giles, London"
St James Westminster,164,43,"St James Westminster, London"
St Luke,220,48,"St Luke, London"
St Martin-in-the-Fields,305,35,"St Martin-in-the-Fields, London"
St Olave,169,2,"St Olave, London"
St Pancras,2716,80,"St Pancras, London"
St Saviour,250,2,"St Saviour, London"
Stepney,1257,16,"Stepney, London"
Strand,174,50,"Strand, London"
Wandsworth,11695,22,"Wandsworth, London"
West London,136,28,"West London, London"
Westminster,917,2,"Westminster, London"
Whitechapel,406,28,"Whitechapel, London"
